name	type	units	status	status_description
FP1	EEG	microV	good	n/a
FPz	EEG	microV	good	n/a
FP2	EEG	microV	good	n/a
F7	EEG	microV	good	n/a
F3	EEG	microV	good	n/a
Fz	EEG	microV	good	n/a
F4	EEG	microV	good	n/a
F8	EEG	microV	good	n/a
FT9	EEG	microV	good	n/a
FC5	EEG	microV	good	n/a
FC1	EEG	microV	good	n/a
FC2	EEG	microV	good	n/a
FC6	EEG	microV	good	n/a
FT10	EEG	microV	good	n/a
T7	EEG	microV	good	n/a
C3	EEG	microV	good	n/a
Cz	EEG	microV	good	n/a
C4	EEG	microV	good	n/a
T8	EEG	microV	good	n/a
TP9	EEG	microV	good	n/a
CP5	EEG	microV	good	n/a
CP1	EEG	microV	good	n/a
CP2	EEG	microV	good	n/a
CP6	EEG	microV	good	n/a
TP10	EEG	microV	good	n/a
P7	EEG	microV	good	n/a
P3	EEG	microV	good	n/a
Pz	EEG	microV	good	n/a
P4	EEG	microV	good	n/a
P8	EEG	microV	good	n/a
O1	EEG	microV	good	n/a
O2	EEG	microV	good	n/a
GSR	GSR	microV	good	n/a
ECG	ECG	microV	good	n/a
VA1	UserReport	microV	good	n/a
VA2	UserReport	microV	good	n/a
VAtarg	MetaData	microV	good	n/a